date,series_id,series_name,agency,diff_count,sample_diff
2026-06-19,hud_fmr_ca_detail,Fair Market Rents — California detail,HUD,88,data.counties[0].statecode: ca → CA; data.counties[1].statecode: ca → CA; data.counties[2].statecode: ca → CA
2026-06-21,hud_fmr_ca_detail,Fair Market Rents — California detail,HUD,88,data.counties[0].statecode: CA → ca; data.counties[1].statecode: CA → ca; data.counties[2].statecode: CA → ca
2026-06-23,hud_fmr_ca_detail,Fair Market Rents — California detail,HUD,88,data.counties[0].statecode: ca → CA; data.counties[1].statecode: ca → CA; data.counties[2].statecode: ca → CA
2026-06-24,bls_laus_LASST060000000000003,State unemployment — LASST060000000000003,BLS,45,[0].period: M04 → M05; [0].periodName: April → May; [1].period: M03 → M04
2026-06-24,bls_laus_LASST360000000000003,State unemployment — LASST360000000000003,BLS,47,[0].period: M04 → M05; [0].periodName: April → May; [1].period: M03 → M04
2026-06-24,bls_laus_LASST480000000000003,State unemployment — LASST480000000000003,BLS,44,[0].period: M04 → M05; [0].periodName: April → May; [1].period: M03 → M04
2026-06-24,bls_laus_LASST170000000000003,State unemployment — LASST170000000000003,BLS,50,[0].period: M04 → M05; [0].periodName: April → May; [1].period: M03 → M04
2026-06-24,bls_laus_LASST120000000000003,State unemployment — LASST120000000000003,BLS,52,[0].period: M04 → M05; [0].periodName: April → May; [1].period: M03 → M04
2026-06-24,bls_ces_SMS06000000000000001,State payroll — SMS06000000000000001,BLS,49,[0].period: M04 → M05; [0].periodName: April → May; [0].value: 18159.7 → 18166.1
2026-06-24,bls_ces_SMS36000000000000001,State payroll — SMS36000000000000001,BLS,50,[0].period: M04 → M05; [0].periodName: April → May; [0].value: 9968.4 → 9991.4
2026-06-24,bls_ces_SMS48000000000000001,State payroll — SMS48000000000000001,BLS,50,[0].period: M04 → M05; [0].periodName: April → May; [0].value: 14394.3 → 14419.2
2026-06-24,bls_ces_SMS17000000000000001,State payroll — SMS17000000000000001,BLS,50,[0].period: M04 → M05; [0].periodName: April → May; [0].value: 6158.8 → 6164.8
2026-06-24,bls_ces_SMS12000000000000001,State payroll — SMS12000000000000001,BLS,50,[0].period: M04 → M05; [0].periodName: April → May; [0].value: 10032.9 → 10024.3
2026-06-26,cdc_weekly_flu_pneumonia,Weekly flu/pneumonia/COVID deaths by state,CDC,18811,[0].data_as_of: 2026-06-11T00:00:00.000 → 2026-06-25T00:00:00.000; [1].data_as_of: 2026-06-11T00:00:00.000 → 2026-06-25T00:00:00.000; [2].data_as_of: 2026-06-11T00:00:00.000 → 2026-06-25T00:00:00.000
2026-06-28,hud_fmr_ca_detail,Fair Market Rents — California detail,HUD,88,data.counties[0].statecode: CA → ca; data.counties[1].statecode: CA → ca; data.counties[2].statecode: CA → ca
2026-07-04,hud_fmr_ca_detail,Fair Market Rents — California detail,HUD,88,data.counties[0].statecode: ca → CA; data.counties[1].statecode: ca → CA; data.counties[2].statecode: ca → CA
2026-07-05,hud_fmr_ca_detail,Fair Market Rents — California detail,HUD,88,data.counties[0].statecode: CA → ca; data.counties[1].statecode: CA → ca; data.counties[2].statecode: CA → ca
2026-07-10,cdc_weekly_flu_pneumonia,Weekly flu/pneumonia/COVID deaths by state,CDC,18679,[0].data_as_of: 2026-06-25T00:00:00.000 → 2026-07-09T00:00:00.000; [1].data_as_of: 2026-06-25T00:00:00.000 → 2026-07-09T00:00:00.000; [2].data_as_of: 2026-06-25T00:00:00.000 → 2026-07-09T00:00:00.000
2026-07-10,hud_fmr_ca_detail,Fair Market Rents — California detail,HUD,88,data.counties[0].statecode: ca → CA; data.counties[1].statecode: ca → CA; data.counties[2].statecode: ca → CA
2026-07-15,bls_cpi_CUURS49ASA0,Metro CPI — CUURS49ASA0,BLS,57,[0].period: M05 → M06; [0].periodName: May → June; [0].value: 355.336 → 354.325
2026-07-15,bls_cpi_CUURS12ASA0,Metro CPI — CUURS12ASA0,BLS,57,[0].period: M05 → M06; [0].periodName: May → June; [0].value: 361.362 → 360.529
2026-07-15,bls_cpi_CUURS23ASA0,Metro CPI — CUURS23ASA0,BLS,57,[0].period: M05 → M06; [0].periodName: May → June; [0].value: 312.867 → 309.915
2026-07-16,cdc_overdose_provisional,Provisional drug overdose deaths,CDC,40917,"[0].data_value: 1235 → 84; [0].indicator: Synthetic opioids, excl. methadone (T40.4) → Number of Drug Overdose Deaths; [0].percent_pending_investigation: 0.431370417 → 0"
2026-07-17,cdc_weekly_flu_pneumonia,Weekly flu/pneumonia/COVID deaths by state,CDC,18208,[0].data_as_of: 2026-07-09T00:00:00.000 → 2026-07-16T00:00:00.000; [1].data_as_of: 2026-07-09T00:00:00.000 → 2026-07-16T00:00:00.000; [2].data_as_of: 2026-07-09T00:00:00.000 → 2026-07-16T00:00:00.000
2026-07-19,hud_fmr_ca_detail,Fair Market Rents — California detail,HUD,88,data.counties[0].statecode: CA → ca; data.counties[1].statecode: CA → ca; data.counties[2].statecode: CA → ca
2026-07-21,cdc_brfss,BRFSS behavioral risk estimates,CDC,58311,[0].display_order: 3557 → 4124; [0].question: Women aged 40-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions) → Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions); [0].que
